Address1,Address2,Distance
"Via Pessinetto 12, Torino","Via Verdi, 10, Torino",3.35
"Via Carlo Alberto, 10, Torino","Via Pessinetto 12, Torino",15.73
"Via Pessinetto 12, Torino","Via Sant'Ottavio, 20, Torino",3.68
"Corso Galileo Ferraris, 29, Torino","Via Pessinetto 12, Torino",3.85
"Via Pessinetto 12, Torino","Via Verdi, 25, Torino",3.48
"Via Pessinetto 12, Torino","Via Plana, 10, Torino",3.87
"Via Pessinetto 12, Torino","Via XX Settembre, 83, Torino",2.75
"Regione Gonzole, 10, Orbassano","Via Pessinetto 12, Torino",10.48
"Via Pessinetto 12, Torino","Via Ventimiglia, 115, Torino",7.1
"Corso Unione Sovietica, 218 bis, Torino","Via Pessinetto 12, Torino",5.8
